Court Name,County,Town/Location,Latitude,Longitude
JKIA Law Courts,Nairobi City,"Nairobi (JKIA, Embakasi)",-1.333731,36.927109
Anti-Corruption & Economic Crimes Court,Nairobi City,Nairobi (Milimani),-1.286389,36.817223
Environment & Land Court (Nairobi),Nairobi City,Nairobi,-1.286389,36.817223
Environment & Land Court (Bungoma),Bungoma,Bungoma,0.569525,34.558376
Environment & Land Court (Busia),Busia,Busia,0.455,34.113
Environment & Land Court (Chuka),Tharaka Nithi,Chuka,0.34,37.633
Environment & Land Court (Eldoret),Uasin Gishu,Eldoret,0.514277,35.269281
Environment & Land Court (Embu),Embu,Embu,-0.533,37.45
Environment & Land Court (Garissa),Garissa,Garissa,-0.453,39.658
Environment & Land Court (Homa Bay),Homa Bay,Homa Bay,-0.5317,34.45
Environment & Land Court (Isiolo),Isiolo,Isiolo,0.354,37.582
Environment & Land Court (Kabarnet),Baringo,Kabarnet,0.493,35.742
Environment & Land Court (Kajiado),Kajiado,Kajiado,-2.072,36.783
Environment & Land Court (Kakamega),Kakamega,Kakamega,0.283,34.75
Environment & Land Court (Kericho),Kericho,Kericho,0.372,35.284
Environment & Land Court (Kerugoya),Kirinyaga,Kerugoya,-0.647,37.275
Environment & Land Court (Kilgoris),Narok,Kilgoris,-1.384,35.83
Environment & Land Court (Kisii),Kisii,Kisii,-0.680482,34.777061
Environment & Land Court (Kisumu),Kisumu,Kisumu,-0.091702,34.768
Environment & Land Court (Kwale),Kwale,Kwale,-4.177,39.467
Environment & Land Court (Lodwar),Turkana,Lodwar,3.115,35.599
Environment & Land Court (Machakos),Machakos,Machakos,-1.516,37.266
Environment & Land Court (Malindi),Kilifi,Malindi,-3.21265,40.12
Environment & Land Court (Meru),Meru,Meru,0.046,37.65
Environment & Land Court (Migori),Migori,Migori,-1.063,34.47
Environment & Land Court (Mombasa),Mombasa,Mombasa,-4.043476,39.668207
Environment & Land Court (Murang’a),Murang’a,Murang’a,-0.716,37.15
Environment & Land Court (Naivasha),Nakuru,Naivasha,-0.717,36.43
Environment & Land Court (Nakuru),Nakuru,Nakuru,-0.303099,36.080026
Environment & Land Court (Nanyuki),Laikipia,Nanyuki,0.016667,37.07
Environment & Land Court (Narok),Narok,Narok,-1.083,35.833
Environment & Land Court (Nyahururu),Laikipia,Nyahururu,-0.033,36.363
Environment & Land Court (Nyamira),Nyamira,Nyamira,-0.341,34.772
Environment & Land Court (Nyandarua),Nyandarua,Nyandarua,-0.443,36
Environment & Land Court (Nyeri),Nyeri,Nyeri,-0.416667,36.95
Environment & Land Court (Ol Kalou),Nyandarua,Ol Kalou,-0.262,36.494
Environment & Land Court (Ruiru),Kiambu,Ruiru,-1.157,36.95
Environment & Land Court (Siaya),Siaya,Siaya,-0.058,34.28
Environment & Land Court (Thika),Kiambu,Thika,-1.039,37.069
Environment & Land Court (Vihiga),Vihiga,Vihiga,0,34.75
Environment & Land Court (Voi),Taita-Taveta,Voi,-3.4,38.57
