Court Name,County,Town/Location,Latitude,Longitude
Employment & Labour Court (Garissa),Garissa,Garissa,-0.453,39.658
Employment & Labour Court (Bungoma),Bungoma,Bungoma,0.569525,34.558376
Employment & Labour Court (Eldoret),Uasin Gishu,Eldoret,0.514277,35.269281
Employment & Labour Court (Kakamega),Kakamega,Kakamega,0.283,34.75
Employment & Labour Court (Kericho),Kericho,Kericho,0.372,35.284
Employment & Labour Court (Kisii),Kisii,Kisii,-0.680482,34.777061
Employment & Labour Court (Kisumu),Kisumu,Kisumu,-0.091702,34.768
Employment & Labour Court (Kitale),Trans Nzoia,Kitale,1.013,35
Employment & Labour Court (Machakos),Machakos,Machakos,-1.516,37.266
Employment & Labour Court (Malindi),Kilifi,Malindi,-3.21265,40.12
Employment & Labour Court (Meru),Meru,Meru,0.046,37.65
Employment & Labour Court (Mombasa),Mombasa,Mombasa,-4.043476,39.668207
Employment & Labour Court (Nairobi),Nairobi City,Nairobi,-1.286389,36.817223
Employment & Labour Court (Nakuru),Nakuru,Nakuru,-0.303099,36.080026
Employment & Labour Court (Nyeri),Nyeri,Nyeri,-0.416667,36.95
