County,Total Courts
Mombasa,7
Kwale,6
Kilifi,8
Tana River,3
Lamu,2
Taita-Taveta,2
Garissa,4
Wajir,1
Mandera,2
Marsabit,2
Isiolo,2
Meru,9
Tharaka - Nithi,5
Embu,5
Kitui,6
Machakos,5
Makueni,4
Nyandarua,3
Nyeri,8
Kirinyaga,5
Murang'a,6
Kiambu,11
Turkana,5
West Pokot,3
Samburu,2
Trans Nzoia,4
Uasin Gishu,5
Elegeyo-Marakwet,3
Nandi,3
Baringo,7
Laikipia,4
Nakuru,6
Narok,5
Kajiado,3
Kericho,4
Bomet,3
Kakamega,7
Vihiga,4
Bungoma,7
Busia,3
Siaya,5
Kisumu,7
Homa Bay,5
Migori,4
Kisii,6
Nyamira,4
Nairobi,13
