Court Name,County,Town/Location,Latitude,Longitude
High Court (Nairobi) – Milimani Law Courts,Nairobi City,Nairobi,-1.286389,36.817223
High Court (Nairobi) – Makadara,Nairobi City,Nairobi,-1.286389,36.817223
High Court (Nairobi) – Kabarnet Road (Kibera),Nairobi City,Nairobi,-1.286389,36.817223
High Court (Mombasa),Mombasa,Mombasa,-4.043476,39.668207
High Court (Malindi),Kilifi,Malindi,-3.21265,40.12
High Court (Garissa),Garissa,Garissa,-0.453,39.658
High Court (Isiolo),Isiolo,Isiolo,0.354,37.582
High Court (Nakuru),Nakuru,Nakuru,-0.303099,36.080026
High Court (Nyahururu),Nyandarua,Nyahururu,-0.033,36.363
High Court (Nyeri),Nyeri,Nyeri,-0.416667,36.95
High Court (Naivasha),Nakuru,Naivasha,-0.717,36.43
High Court (Thika),Kiambu,Thika,-1.039,37.069
High Court (Nanyuki),Laikipia,Nanyuki,0.016667,37.07
High Court (Busia),Busia,Busia,0.455,34.113
High Court (Bungoma),Bungoma,Bungoma,0.569525,34.558376
High Court (Busia),Busia,Busia,0.455,34.113
High Court (Eldoret),Uasin Gishu,Eldoret,0.514277,35.269281
High Court (Kisumu),Kisumu,Kisumu,-0.091702,34.768
High Court (Kerugoya),Kirinyaga,Kerugoya,-0.647,37.275
High Court (Chuka),Tharaka Nithi,Chuka,0.34,37.633
High Court (Machakos),Machakos,Machakos,-1.516,37.266
High Court (Kakamega),Kakamega,Kakamega,0.283,34.75
High Court (Kapenguria),West Pokot,Kapenguria,1.25,35.1
High Court (Meru),Meru,Meru,0.046,37.65
High Court (Kericho),Kericho,Kericho,0.372,35.284
High Court (Kisii),Kisii,Kisii,-0.680482,34.777061
High Court – Kitale,Trans-Nzoia,Kitale,1.01444,35.00212
High Court – Lodwar,Turkana,Lodwar,3.1191,35.5973
High Court – Kabarnet,Baringo,Kabarnet,0.49247,35.74328
High Court – Ol Kalou,Nyandarua,Ol Kalou,-0.26958,36.37968
High Court – Embu,Embu,Embu,-0.53726,37.45429
High Court – Marsabit,Marsabit,Marsabit,2.3347,37.98971
High Court – Murang’a,Murang’a,Murang’a,-0.72104,37.16313
High Court – Kitui,Kitui,Kitui,-1.37513,38.01068
High Court – Wote,Makueni,Wote (Makueni),-1.78082,37.62833
High Court – Kiambu,Kiambu,Kiambu (Town),-1.17139,36.83472
High Court – Kajiado,Kajiado,Kajiado,-1.85243,36.78336
High Court – Narok,Narok,Narok,-1.08283,35.87138
High Court – Bomet,Bomet,Bomet,-0.78331,35.34166
High Court – Migori,Migori,Migori,-1.06341,34.47313
High Court – Homa Bay,Homa Bay,Homa Bay,-0.525,34.45714
High Court – Siaya,Siaya,Siaya,0.06068,34.28807
High Court – Nyamira,Nyamira,Nyamira,-0.5636,34.93563
High Court – Vihiga (Mbale),Vihiga,Mbale (Vihiga),0.07737,34.72408
High Court – Wajir,Wajir,Wajir,1.75,40.05732
High Court – Mandera (Sub-reg.),Mandera,Mandera,3.93733,41.84427
High Court – Maralal (Sub-reg.),Samburu,Maralal,1.09881,36.72157
High Court – Voi,Taita-Taveta,Voi,-3.3795,38.56622
High Court – Kwale,Kwale,Kwale,-4.173,39.45208
High Court – Hola,Tana River,Hola,-1.49984,40.03433
