Court Name,County,Town/Location,Latitude,Longitude
Anti-Corruption Magistrate’s Court,Nairobi City,Nairobi (Milimani),-1.286389,36.817223
Baricho Law Courts,??? (likely Kakamega),Baricho (Nyanza),0.414,34.896
Bondo Law Courts,Siaya,Bondo,-0.125,34.284
Busia Law Courts,Busia,Busia,0.455,34.113
Butere Law Courts,Kakamega,Butere,0.31,34.312
Chuka Law Court,Tharaka Nithi,Chuka,0.34,37.633
Eldoret Law Courts,Uasin Gishu,Eldoret,0.514277,35.269281
Engineer Law Courts,Meru,Maara (Engineer),0.21,37.525
Garbatulla Law Courts,Isiolo,Garbatulla,0.655,39.848
Garissa Law Courts,Garissa,Garissa,-0.453,39.658
Garsen Law Courts,Tana River,Garsen,0.67,40.15
Gichugu Law Courts,Kirinyaga,Gichugu (Kutus),-0.65,37.28
Githongo Law Courts,Nyeri,Githongo (Nyeri),-0.42,36.95
Githunguri Law Courts,Kiambu,Githunguri,-1.13,37.08
Hamisi Law Courts,Vihiga,Hamisi,0.17,34.95
Homa Bay Law Courts,Homa Bay,Homa Bay,-0.5317,34.45
Isiolo Law Courts,Isiolo,Isiolo,0.354,37.582
Kabarnet Law Courts,Baringo,Kabarnet,0.493,35.742
Kakamega Law Courts,Kakamega,Kakamega,0.283,34.75
Kakuma Law Courts,Turkana,Kakuma,3.154,34.848
Kaloleni Law Courts,Kilifi,Kaloleni,-3.53,39.81
Kandara Law Courts,Murang’a,Kandara,-0.716,37.13
Kangundo Law Courts,Machakos,Kangundo,-1.401,37.333
Kapenguria Law Courts,West Pokot,Kapenguria,1.25,35.1
Karaba Law Courts,Elgeyo-Marakwet,Kapcherop (Karaba),1.065,35.061
Kenol Law Courts,Kirinyaga,Kenol,-0.712,37.29
Kericho Law Courts,Kericho,Kericho,0.372,35.284
Kerugoya Law Courts,Kirinyaga,Kerugoya,-0.647,37.275
Kiambu Law Courts,Kiambu,Kiambu,-1.166667,36.833333
Kibera Law Courts,Nairobi City,Kibera (Nairobi),-1.314,36.782
Kigumo Law Courts,Murang’a,Kigumo,-0.78,37.08
Kilifi Law Courts,Kilifi,Kilifi,-3.63,39.85
Kimilili Law Courts,Bungoma,Kimilili,0.78,34.79
Kipkelion Law Courts,Kericho,Kipkelion,-0.3,35.73
Kisii Law Courts,Kisii,Kisii,-0.680482,34.777061
Kisumu Law Courts,Kisumu,Kisumu,-0.091702,34.768
Kombewa Law Court,Kisumu,Kombewa,-0.15,34.69
Kyuso Law Courts,Kitui,Kyuso,0.35,37.68
Laisamis Law Courts,Marsabit,Laisamis,1,37
Lodwar Law Courts,Turkana,Lodwar,3.115,35.599
Loiyangalani Law Courts,Marsabit,Loiyangalani,1.75,36.27
Lokichogio Law Courts,Turkana,Lokichogio,4.36,34.12
Machakos Law Courts,Machakos,Machakos,-1.516,37.266
Madiany Law Courts,Siaya,Madiany,0.1,34.77
Magadi Law Courts,Kajiado,Magadi,-1.8,36.35
Magunga Law Courts,Vihiga,Magunga,0.633,38.183
Makadara Law Courts,Nairobi City,Makadara (Nairobi),-1.286389,36.817223
Malindi Law Courts,Kilifi,Malindi,-3.21265,40.12
Mandera Law Courts,Mandera,Mandera,3.937,41.856
Mariakani Law Courts,Kilifi,Mariakani,-3.92,39.8
Marimanti Law Courts,Tharaka Nithi,Marimanti,-0.689,37
Marsabit Law Courts,Marsabit,Marsabit,2.333,37.99
Maseno Law Courts,Kisumu,Maseno,0.057,34.757
Maua Law Courts,Meru,Maua,0.152,37.665
Mavoko Law Courts,Machakos,Mavoko (Athiriver),-1.393,36.904
Mbita Law Courts,Homabay,Mbita,-0.43,34.07
Merti Law Courts,Isiolo,Merti,0.21,38.37
Meru Law Courts,Meru,Meru,0.046,37.65
Migori Law Courts,Migori,Migori,-1.063,34.47
Milimani Chief Magistrates Family Court,Nairobi City,Nairobi (Milimani),-1.286389,36.817223
Milimani Commercial Chief Magistrate’s Courts,Nairobi City,Nairobi (Milimani),-1.286389,36.817223
Mombasa Law Courts,Mombasa,Mombasa,-4.043476,39.668207
Mpeketoni Law Courts,Lamu,Mpeketoni,-2.25,40.68
Msambweni Law Courts,Kwale,Msambweni,-4.29,39.52
Mumias Law Courts,Kakamega,Mumias,0.338,34.52
Mutuati Law Courts,Makueni,Mutuati,0.807,37.46
Mwingi Law Court,Kitui,Mwingi,-0.94,38.06
Nairobi City Court (Chief Magistrate),Nairobi City,Nairobi,-1.286389,36.817223
Naivasha Law Courts,Nakuru,Naivasha,-0.717,36.43
Nanyuki Law Courts,Laikipia,Nanyuki,0.016667,37.07
Narok Law Courts,Narok,Narok,-1.083,35.833
Ngong Law Courts,Kajiado,Ngong,-1.361,36.65
Nyahururu Law Courts,Laikipia,Nyahururu,-0.033,36.363
Nyeri Law Courts,Nyeri,Nyeri,-0.416667,36.95
Ol Kalou Law Courts,Nyandarua,Ol Kalou,-0.262,36.494
Othaya Law Courts,Nyeri,Othaya,-0.339,36.9
Rongo Law Courts,Migori,Rongo,-0.56,34.45
Ruiru Law Courts,Kiambu,Ruiru,-1.157,36.95
Rumuruti Law Courts,Laikipia,Rumuruti,0.466,37
Runyenjes Law Courts,Embu,Runyenjes,-0.406,37.6
Shanzu Law Courts,Mombasa,Shanzu (Mombasa),-3.85,39.71
Siakago Law Courts,Embu,Siakago,-0.528,37.16
Siaya Law Courts,Siaya,Siaya,-0.058,34.28
Sirisia Law Courts,Bungoma,Sirisia,0.726,34.66
Sotik Law Courts,Bomet,Sotik,-0.597,35.747
Tawa Law Court,??,Tawa (??),—,—
Thika Law Courts,Kiambu,Thika,-1.039,37.069
Tigania Law Courts,Meru,Tigania,-0.75,37.8
Tononoka Law Courts,Mombasa,Tononoka (Mombasa),-4.043476,39.668207
Voi Law Courts,Taita-Taveta,Voi,-3.4,38.57
Wamunyu Law Courts,Machakos,Wamunyu,-1.28,37.02
Wang’uru Law Courts,Kirinyaga,Wang’uru,0.75,37.15
Webuye Law Courts,Bungoma,Webuye,0.62,34.75
Winam Law Courts,Kisumu,Winam (Kisumu),-0.091702,34.768
